date_and_time,lat,lon,speed
04-12-14 10:50:06.566,59.345242,18.056905,6
04-12-14 10:50:07.566,59.345228,18.056915,6
04-12-14 10:50:08.566,59.345213,18.056923,6
04-12-14 10:50:09.566,59.345198,18.056927,7
04-12-14 10:50:10.566,59.345173,18.056912,9
04-12-14 10:50:11.566,59.345162,18.056912,6
04-12-14 10:50:12.566,59.345152,18.05692,6
04-12-14 10:50:13.566,59.345138,18.056923,6
04-12-14 10:50:14.566,59.345127,18.056925,6
04-12-14 10:50:15.566,59.345112,18.056925,7
04-12-14 10:50:16.566,59.345118,18.056938,6
04-12-14 10:50:17.566,59.34511,18.056953,6
04-12-14 10:50:18.566,59.345117,18.056967,6
04-12-14 10:50:19.566,59.34511,18.056978,6
04-12-14 10:50:20.565,59.345097,18.056993,6
04-12-14 10:50:21.565,59.34509,18.057003,6
04-12-14 10:50:22.565,59.345083,18.057018,6
04-12-14 10:50:23.565,59.345072,18.057033,6
04-12-14 10:50:24.565,59.34506,18.057048,6
04-12-14 10:50:25.565,59.345048,18.057062,6
04-12-14 10:50:26.565,59.345035,18.057075,6
04-12-14 10:50:27.565,59.345027,18.057083,6
04-12-14 10:50:28.565,59.34502,18.057103,5
04-12-14 10:50:29.565,59.345012,18.057125,6
04-12-14 10:50:30.565,59.345002,18.057145,6
04-12-14 10:50:31.565,59.345008,18.057167,6
04-12-14 10:50:32.565,59.345025,18.057192,6
04-12-14 10:50:33.564,59.345043,18.057213,6
04-12-14 10:50:34.564,59.345057,18.057233,6
04-12-14 10:50:35.564,59.345082,18.057252,5
04-12-14 10:50:36.564,59.3451,18.057268,5
04-12-14 10:50:37.564,59.345117,18.05727,4
04-12-14 10:50:38.564,59.345132,18.057268,4
04-12-14 10:50:39.564,59.345145,18.057272,4
04-12-14 10:50:40.564,59.345155,18.057275,3
04-12-14 10:50:41.564,59.34516,18.05728,5
04-12-14 10:50:42.564,59.345157,18.057282,6
04-12-14 10:50:43.564,59.345148,18.057278,5
04-12-14 10:50:44.564,59.345142,18.057282,4
04-12-14 10:50:45.564,59.345135,18.057288,5
04-12-14 10:50:46.564,59.345127,18.05729,5
04-12-14 10:50:47.563,59.345117,18.057295,5
04-12-14 10:50:48.563,59.345108,18.057305,5
04-12-14 10:50:49.563,59.345098,18.05732,5
04-12-14 10:50:50.563,59.345072,18.057295,5
04-12-14 10:50:51.563,59.345062,18.057305,4
04-12-14 10:50:52.563,59.345042,18.057297,6
04-12-14 10:50:53.563,59.345027,18.0573,5
04-12-14 10:50:54.563,59.345017,18.05731,4
04-12-14 10:50:55.563,59.345007,18.057318,5
04-12-14 10:50:56.563,59.344992,18.057323,5
04-12-14 10:50:57.563,59.344978,18.057327,5
04-12-14 10:50:58.563,59.34496,18.057323,5
04-12-14 10:50:59.563,59.34494,18.057325,5
04-12-14 10:51:00.562,59.34492,18.05733,6
04-12-14 10:51:01.562,59.344907,18.057343,5
04-12-14 10:51:02.562,59.344895,18.057358,5
04-12-14 10:51:03.562,59.344885,18.05737,5
04-12-14 10:51:04.562,59.344873,18.057375,5
04-12-14 10:51:05.562,59.344857,18.057375,5
04-12-14 10:51:06.562,59.344837,18.057385,6
04-12-14 10:51:07.562,59.344818,18.057398,6
